file_name,compound_name,A,B,C,Ae,Be,Ce,De,Ee,Fe,Ge,Density,Volume,T_boil
PVAP_4-methoxybenzaldehyde.tab,4-methoxybenzaldehyde,14.89847686,5171.57100462,-47.62845265,71.00058496,-10580.99753341,0.0,0.0,-7.57273025,168090.0,-2.0,1.10597266,0.20441752,550.6925305301108
PVAP_4-methoxybenzeneacetonitrile.tab,4-methoxybenzeneacetonitrile,15.39276141,5848.85713351,-50.07043047,78.95236714,-11927.65924684,0.0,0.0,-8.5862365,159200.0,-2.0,1.07626335,0.22707205,592.9166033333609
PVAP_4-methoxybenzenemethanamine.tab,4-methoxybenzenemethanamine,14.96578312,5051.02994804,-53.15294399,69.38712108,-10198.30714514,0.0,0.0,-7.35952019,97765.34027566,-2.0,1.06119863,0.21465578,541.2954306581643
PVAP_4-methoxybenzoicacid.tab,4-methoxybenzoicacid,14.47576347,4909.14640675,-93.59522705,55.23621142,-7052.287164,0.0,0.0,-5.76058979,-740470.0,-2.0,1.22558502,0.20614471,591.6100502440524
PVAP_4-methoxybenzonitrile.tab,4-methoxybenzonitrile,14.93183434,5424.75075329,-46.25495392,71.51935564,-10890.57560732,0.0,0.0,-7.63693331,170410.0,-2.0,1.10360315,0.20034148,572.2403264132988
PVAP_4-methoxyphenol.tab,4-methoxyphenol,14.13795466,4196.36564614,-92.64383612,34.69421914,-4665.58886848,0.0,0.0,-2.99106744,-738940.0,-2.0,1.14222064,0.18046936,533.4560734191919
"PVAP_4-methoxyphenyl-1,1-dimethylurea.tab","4-methoxyphenyl-1,1-dimethylurea",16.24102431,7378.00234119,-55.02545629,88.93734703,-14127.40702853,0.0,0.0,-9.84885115,40195.42851979,-2.0,1.13392285,0.28443624,689.8184017374091
PVAP_4-methoxypyrazole.tab,4-methoxypyrazole,14.41441354,4449.68003084,-77.38052572,58.92715864,-7955.59161322,0.0,0.0,-6.12056297,-278200.0,-2.0,1.20436965,0.13526161,531.6111836889796
PVAP_4-methoxypyridazine.tab,4-methoxypyridazine,14.5643159,5398.59901199,-48.51959712,63.08281166,-9991.16088338,0.0,0.0,-6.56104171,66330.56039513,-2.0,1.2081702,0.15134403,591.3115121985395
PVAP_4-methoxypyridine.tab,4-methoxypyridine,14.38873133,4345.59246914,-46.52671373,61.31716245,-8884.75405259,0.0,0.0,-6.33249359,149520.0,-2.0,1.08557907,0.16692358,491.297991122683
PVAP_4-methoxypyridine1-oxide.tab,4-methoxypyridine1-oxide,14.83751233,5785.76339495,-56.26218414,68.83674266,-10727.61793839,0.0,0.0,-7.32612304,-17981.20932557,-2.0,1.24875035,0.16638748,622.4293200505084
PVAP_4-methoxypyrimidine.tab,4-methoxypyrimidine,14.05341181,3932.38623881,-49.97477963,59.39824773,-8287.67173902,0.0,0.0,-6.12313086,132850.0,-2.0,1.15355197,0.15850985,466.7584006150551
PVAP_4-methoxyquinoline.tab,4-methoxyquinoline,15.12717045,5815.47027093,-42.53679365,75.70798164,-11733.40542823,0.0,0.0,-8.16666093,227100.0,-2.0,1.150192,0.22981702,595.9253481943925
"PVAP_4-methyl-1,1'-biphenyl.tab","4-methyl-1,1'-biphenyl",15.54045297,5646.80334471,-42.31740376,84.151633,-12401.21334772,0.0,0.0,-9.24215761,317510.0,-2.0,1.01143447,0.27620338,559.3235755848087
"PVAP_4-methyl-1,2-benzenediol.tab","4-methyl-1,2-benzenediol",13.78023928,4139.98380945,-94.08576678,27.88608752,-3923.59230659,0.0,0.0,-2.12849659,-811460.0,-2.0,1.16258127,0.17730874,545.9550351266244
"PVAP_4-methyl-1,2-benzenedithiol.tab","4-methyl-1,2-benzenedithiol",15.5107009,5222.19270698,-44.08163543,83.45918388,-11903.66787201,0.0,0.0,-9.15398237,318350.0,-2.0,1.21584031,0.21342646,523.5175889006492
"PVAP_4-methyl-1,2-dinitrobenzene.tab","4-methyl-1,2-dinitrobenzene",14.62804906,5892.33443018,-48.56236011,68.23769601,-10977.0986881,0.0,0.0,-7.24785792,79509.45552571,-2.0,1.30967252,0.23092881,637.2238662319398
"PVAP_4-methyl-1,3-benzenediamine.tab","4-methyl-1,3-benzenediamine",15.00581901,5403.91667586,-61.35429653,70.27401201,-10387.46857366,0.0,0.0,-7.50868205,-42104.20621929,-2.0,1.09090094,0.18596129,581.5876581350503
"PVAP_4-methyl-1,3-benzenediol.tab","4-methyl-1,3-benzenediol",14.15969525,4408.25832574,-100.77141155,34.09561819,-4223.91862458,0.0,0.0,-2.99494852,-984960.0,-2.0,1.18566299,0.17385701,562.7870325840232
"PVAP_4-methyl-1,3-dioxane.tab","4-methyl-1,3-dioxane",14.14811169,3714.62266194,-44.01935727,57.59163264,-7963.43130514,0.0,0.0,-5.85592309,179100.0,-2.0,1.04819964,0.16179604,433.81043742199495
"PVAP_4-methyl-1,3-dioxolane.tab","4-methyl-1,3-dioxolane",13.92780038,3296.67984339,-46.10142407,53.33478561,-7133.18130961,0.0,0.0,-5.31426205,152680.0,-2.0,1.05244897,0.13901169,400.2226395933954
"PVAP_4-methyl-1,3-pentadiene.tab","4-methyl-1,3-pentadiene",14.20224977,2703.6570184,-51.21448439,58.88342726,-7068.47157022,0.0,0.0,-6.02369511,213280.0,-2.0,0.70280495,0.19408453,333.31804726003935
PVAP_4-methyl-1-(1-methylethyl)-3-cyclohexen-1-ol.tab,4-methyl-1-(1-methylethyl)-3-cyclohexen-1-ol,14.46911731,4201.40843449,-76.57511326,41.70907473,-6047.19099919,0.0,0.0,-3.7867455,-387150.0,-2.0,0.90675792,0.28247738,503.0800874683165
PVAP_4-methyl-1-heptene.tab,4-methyl-1-heptene,14.88563497,3330.90242506,-51.39902539,72.44524341,-8965.31190523,0.0,0.0,-7.75826019,285900.0,-2.0,0.70355292,0.26484819,375.8175036581375
PVAP_4-methyl-1-hexene.tab,4-methyl-1-hexene,14.53647974,2974.11806367,-50.07152556,65.51818984,-7975.95882222,0.0,0.0,-6.87013331,260070.0,-2.0,0.68851665,0.2368031,349.9378406455186
PVAP_4-methyl-1-octanol.tab,4-methyl-1-octanol,14.89049098,3768.92856817,-110.38510118,50.01665083,-4777.39915469,0.0,0.0,-5.09076003,-909480.0,-2.0,0.81821263,0.29276217,477.2922923276544
PVAP_4-methyl-1-pentanol.tab,4-methyl-1-pentanol,14.27646887,2938.08351459,-118.23214941,50.44473063,-4133.71526736,0.0,0.0,-5.2211329,-794910.0,-2.0,0.8044912,0.21089875,422.44029129341675
PVAP_4-methyl-1-penten-3-ol.tab,4-methyl-1-penten-3-ol,13.80810185,2745.27082805,-108.01731985,30.12423542,-2695.97740279,0.0,0.0,-2.43833632,-698040.0,-2.0,0.80751065,0.20596473,406.7485419726794
PVAP_4-methyl-1-pentene.tab,4-methyl-1-pentene,14.21537447,2613.00845456,-50.71940987,59.51361416,-7052.04323151,0.0,0.0,-6.10502299,229230.0,-2.0,0.66632155,0.20973513,322.99170437857873
PVAP_4-methyl-1-pentyne.tab,4-methyl-1-pentyne,14.2215481,2823.5030582,-52.7765383,59.02336288,-7175.74062051,0.0,0.0,-6.04324737,194830.0,-2.0,0.6978579,0.19546038,346.7929775362784
PVAP_4-methyl-1-phenyl-2-pentanone.tab,4-methyl-1-phenyl-2-pentanone,15.71509616,5619.10249441,-46.02407066,86.71157878,-12558.94963414,0.0,0.0,-9.57021953,299560.0,-2.0,0.94711675,0.30902196,552.397190528104
"PVAP_4-methyl-1-[(1r,6s)-2,2,6-trimethylcyclohexyl]pentan-3-ol.tab","4-methyl-1-[(1r,6s)-2,2,6-trimethylcyclohexyl]pentan-3-ol",15.55595821,5365.66889316,-82.93808047,49.42186157,-7279.36985086,0.0,0.0,-4.76434262,-646110.0,-2.0,0.86788804,0.43317255,573.5079139366513
"PVAP_4-methyl-1-[(1s,6r)-2,2,6-trimethylcyclohexyl]pentan-3-ol.tab","4-methyl-1-[(1s,6r)-2,2,6-trimethylcyclohexyl]pentan-3-ol",15.55853085,5345.76607696,-83.4121968,49.890755,-7289.82403118,0.0,0.0,-4.82941518,-648150.0,-2.0,0.86898434,0.43262606,572.0474330682912
PVAP_4-methyl-2(1h)-pyridinone.tab,4-methyl-2(1h)-pyridinone,14.94881015,5651.14586902,-75.30371078,79.91841537,-11028.54243258,0.0,0.0,-8.89774399,-237370.0,-2.0,1.177408,0.1539048,622.340007490808
