COSMO_name,Molecule name,COSMO calculational method,CAS number,Molecular Weight,Sum Formula,file_name,SMILES
"(+)-(3s,3as,6s,7ar)-perhydro-3,6-dimethyl-2-benzo[b]furanone",,,,,,,O1[C@H]2[C@@H]([C@H](C1=O)C)CC[C@H](C2)C
"(+)-(3s,5s)-3,5-dimethylcyclohexanone",,,,,,,C1(=O)C[C@H](C[C@@H](C1)C)C
"(+)-(4ar,5s)-karanone",,,,,,,C12=CC(=O)C(=C(C)C)C[C@@]1([C@H](CC=C2)C)C
"(+)-(4ar,8as)-5,5,8a-trimethyloctahydronaphthalen-2-one",,,,,,,C1CC([C@@H]2[C@@](C1)(CC(=O)CC2)C)(C)C
"(+)-(4r,4ar,8as)-geosmin",,,,,,,C1[C@]2([C@@]([C@@H](CC1)C)(O)CCCC2)C
"(+)-(6s)-3,4-didehydro-7,8-dihydro-g-ionone",,,,,,,C1C=CC(=C)[C@H](C1(C)C)CCC(=O)C
"(+)-(6s)-3,4-didehydro-g-ionone",,,,,,,C1C=CC(=C)[C@H](C1(C)C)/C=C/C(=O)C
(+)-(6s)-dictyopterene_d,,,,,,,C1=C[C@@H](CC=CC1)/C=C\CC
"(+)-(7s,9r)-7,11-epoxymegastigma-5(6)-en-9-ol",,,,,,,C1CCC2=C(C1(C)C)[C@@H](OC2)C[C@@H](C)O
"(+)-(7s,9s)-7,11-epoxymegastigma-5(6)-en-9-ol",,,,,,,C1CCC2=C(C1(C)C)[C@@H](OC2)C[C@H](C)O
(+)-(e)-alpha-photosantalol,,,,,,,C1[C@@H]2[C@H]3[C@@]2([C@@]([C@@H]1C3)(C/C=C/C(C)(C)O)C)C
(+)-(r)-12-oxo-muscolide,,,,,,,C1CCCC(=O)C[C@H](COC(=O)CCCCCC1)C
"(+)-(r)-2,5,6-trimethyl-2-heptanol",,,,,,,CC([C@@H](CCC(C)(C)O)C)C
"(+)-(r)-4,8-dimethylnon-7-en-4-olide",,,,,,,C1[C@](OC(=O)C1)(CCC=C(C)C)C
"(+)-(s)-1,2-methano-3-octanol",,,,,,,C(CC[C@@H](C1CC1)O)CC
(+)-(s)-13-tetradecanolide,,,,,,,C1CCCCCC[C@@H](OC(=O)CCC1)C
"(+)-(s,s)-epoxydecenal",,,,,,,CCCCC[C@H]1[C@H](/C=C/C=O)O1
(+)-(z)-epi-beta-santalol,,,,,,,C1C[C@@H]2C(=C)[C@]([C@H]1C2)(C)CC/C=C(\CO)/C
"(+)-1'-[(1s,1'rs,3r)-3-isopropyl-1-methylcyclopentyl]ethanol",,,,,,,[C@H]1(CC[C@@](C1)([C@@H](O)C)C)C(C)C
"(+)-1'r,3r,6's-norlimbanol",,,,,,,[C@H]1([C@H](CCCC1(C)C)C)CC[C@@H](CCC)O
"(+)-1'r,3s,6's-5-methyl-norlimbanol",,,,,,,[C@H]1([C@H](CCCC1(C)C)C)CC[C@H](CC(C)C)O
"(+)-1'r,3s,6's-norlimbanol",,,,,,,[C@H]1([C@H](CCCC1(C)C)C)CC[C@H](CCC)O
"(+)-1-[(1s,3r)-3-isopropyl-1-methylcyclopentyl]ethanone",,,,,,,[C@H]1(CC[C@@](C1)(C(=O)C)C)C(C)C
"(+)-1-[(1s,3r)-3-isopropyl-1-methylcyclopentyl]propan-1-one",,,,,,,[C@H]1(CC[C@@](C1)(C(=O)CC)C)C(C)C
"(+)-20-desmethyl-8a,13-desoxyambreinolide",,,,,,,C1CC([C@H]2[C@](C1)([C@@H]1[C@@H](CC2)OCCC1)C)(C)C
(+)-3s-1-methoxyhexane-3-thiol,,,,,,,CCC[C@@H](CCOC)S
(+)-4-(2-endo-bornyl)-2-methylcyclohexanone,,,,,,,C1C[C@]2([C@H](C[C@@H]1C2(C)C)[C@H]1CCC(=O)[C@H](C1)C)C
"(+)-8-dehydro-11,12-dihydronootkatone",,,,,,,C1C(=O)C=C2[C@]([C@@H]1C)(C[C@@H](C=C2)C(C)C)C
"(+)-8b,13-desoxyambreinolide",,,,,,,C1CC([C@H]2[C@](C1)([C@@H]1[C@](CC2)(OCCC1)C)C)(C)C
"(+)-9a,13-epoxy-14,15,16,20-tetranorlabdane",,,,,,,C1CC([C@@H]2[C@@](C1)([C@]1(CCC2)OCCC1)C)(C)C
"(+)-9b,13-epoxy-14,15,16,20-tetranorlabdane",,,,,,,C1CC([C@@H]2[C@@](C1)([C@@]1(CCC2)OCCC1)C)(C)C
(+)-ambrox,,,,,,,[C@H]12[C@]3([C@H](CC[C@@]1(OCC2)C)C(CCC3)(C)C)C
(+)-androsta-16-en-3-one,,,,,,,[C@H]12CC(=O)CC[C@]1(C)[C@@H]1[C@@H](CC2)[C@H]2[C@@](CC1)(C)C=CC2
"(+)-androsta-4,16-dien-3-one",,,,,,,C12=CC(=O)CC[C@]1(C)[C@@H]1[C@@H](CC2)[C@H]2[C@@](CC1)(C)C=CC2
(+)-cedrol,,,,,,,C[C@@H]1CC[C@H]2C(C)(C)[C@H]3C[C@@]12CC[C@@]3(C)O
(+)-dehydrogeosmin,,,,,,,C1=CC[C@]2([C@](C1)(CCC[C@@H]2C)C)O
(+)-dihydrokaranone,,,,,,,C12=CC(=O)C(=C(C)C)C[C@@]1([C@H](CCC2)C)C
(+)-ent-13-desoxyambreinolide,,,,,,,C1CC([C@@H]2[C@@](C1)([C@H]1[C@](CC2)(OCCC1)C)C)(C)C
"(+)-ethyl(2r)-2-(1,1-dimethylpropoxy)propanoate",,,,,,,CCOC(=O)[C@H](OC(C)(CC)C)C
(+)-ethyl-(s)-3-methyl-2-oxo-pentanoate,,,,,,,CC[C@@H](C(=O)C(=O)OCC)C
(+)-helvetolide,,,,,,,C(C(O[C@@H](C)[C@H]1CC(CCC1)(C)C)(C)C)OC(=O)CC
(+)-isopinocamphone,,,,,,,[C@H]12C([C@H](CC(=O)[C@@H]1C)C2)(C)C
(+)-jinkohol2,,,,,,,[C@H]12[C@@]3(C[C@H]([C@H](C1(C)C)CO)CC3)[C@H](CC2)C
"(+)-methyl(1r)-1,4-dimethylcyclohex-3-ene-1-carboxylate",,,,,,,C1C[C@](CC=C1C)(C(=O)OC)C
(+)-methyl_(s)-3-hydroxyhexanoate,,,,,,,C(=O)(C[C@H](CCC)O)OC
(+)-patchoulenol,,,,,,,C1=C[C@H]2C[C@H]3[C@@]1([C@@](C2(C)C)(CC[C@H]3C)O)C
(+)-rieslingacetal_1b,,,,,,,C1C=C[C@@]2([C@@]3(C1(C)C)CC[C@](O2)(C)O3)C
(+)-s-methyl_(2s)-2-methylbutanethioate,,,,,,,C(=O)([C@H](CC)C)SC
(+)-tetrahydronootkatone,,,,,,,C1C(=O)C[C@H]2[C@]([C@@H]1C)(C[C@@H](CC2)C(C)C)C
(+)-tricycloketone,,,,,,,C1C(=O)C=C2[C@@]([C@H]1C)(C[C@]1([C@@H]2C1)C(C)C)C
"(+)-[(1s,3r)-3-isopropyl-1-methylcyclopentyl]methanol",,,,,,,[C@H]1(CC[C@@](C1)(CO)C)C(C)C
"(-)-(1's,3'r,6'r)-3'-methyl-norlimbanol",,,,,,,[C@@H]1([C@@H](CC[C@H](C1(C)C)C)C)CC[C@H](CCC)O
(-)-(11s)-11-methyl-12-dodecanolide,,,,,,,C1CCCC(=O)OC[C@H](CCCCC1)C
(-)-(14s)-14-methyl-15-pentadecanolide,,,,,,,C1CCCCC[C@@H](COC(=O)CCCCCC1)C
"(-)-(1r,1's)-rosamusk",,,,,,,C1(CCC[C@@H](C1)[C@H](OC(=O)C)C)(C)C
"(-)-(1r,2s)-2-heptylcyclopropanecarboxylicacid",,,,,,,[C@@H]1([C@H](C1)CCCCCCC)C(=O)O
"(-)-(1r,2s)-georgywood",,,,,,,C1CCC2=C(C1(C)C)[C@H]([C@@](CC2)(C)C(=O)C)C
"(-)-(1r,2s,2's,4r)-1,2',7,7-tetramethyl-spiro(bicyclo(2_2_1)heptane-2,4'-(1,3)dioxane)",,,,,,,C1C[C@]2([C@]3(C[C@@H]1C2(C)C)CCO[C@@H](O3)C)C
"(-)-(1r,2s,2's,4r)-2'-isopropyl-1,7,7-trimethylspiro(bicyclo(2_2_1)heptane-2,4'-(1,3)dioxane)",,,,,,,C1C[C@]2([C@]3(C[C@@H]1C2(C)C)CCO[C@@H](O3)C(C)C)C
"(-)-(1r,3s)-3-methylcyclopentadecanol",,,,,,,C1[C@H](C[C@H](CCCCCCCCCCC1)C)O
"(-)-(1r,3s,6s,8s)-8-tertbutylbicyclodecan-3-ol",,,,,,,[C@H]12[C@@H](C[C@H](CC1)O)CC[C@@H](C2)C(C)(C)C
"(-)-(1r,4s,5s,9r)-1-hydroxy-1,4,7,7,9-pentamethylspiro(4_5)decan-2-one",,,,,,,[C@@]1(C(=O)C[C@@H]([C@@]21CC(C[C@H](C2)C)(C)C)C)(C)O
"(-)-(1s,2r,2's,4s)-2'-isopropyl-1,7,7-trimethylspiro(bicyclo(2_2_1)heptane-2,4'-(1,3)dioxane)",,,,,,,C1[C@@]2([C@@]3(C[C@H](C1)C2(C)C)CCO[C@@H](O3)C(C)C)C
"(-)-(1s,3s)-3-methylcyclopentadecanol",,,,,,,C1[C@@H](C[C@H](CCCCCCCCCCC1)C)O
"(-)-(1s,3s,4ar,9as)-magnolan",,,,,,,O1[C@@H](O[C@@H]2[C@H]([C@@H]1C)Cc1ccccc21)C
"(-)-(1s,3s,4as,9ar)-magnolan",,,,,,,O1[C@@H](O[C@H]2[C@@H]([C@@H]1C)Cc1ccccc21)C
"(-)-(2r)-2-ethyl-4,4-dimethyl-1-cyclohexanone",,,,,,,[C@H]1(CC(CCC1=O)(C)C)CC
"(-)-(2r,4r)-disila-okoumal",,,,,,,O1[C@](O[C@@H](C1)C)(c1cc2c(cc1)[Si](CC[Si]2(C)C)(C)C)C
"(-)-(2r,4r)-florol",,,,,,,C1CO[C@@H](C[C@]1(C)O)CCC
"(-)-(2r,4s)-florol",,,,,,,C1CO[C@@H](C[C@@]1(C)O)CCC
"(-)-(2r,5r)-2,6,10,10-tetramethyl-1-oxaspiro(4_5)dec-6-ene",,,,,,,C1CC=C([C@@]2(C1(C)C)O[C@@H](CC2)C)C
"(-)-(2s,3r)-2,3-methano-1-pentanol",,,,,,,[C@@H]1([C@H](C1)CO)CC
"(-)-(2s,3r)-2,3-methanodimethyloctenol",,,,,,,CC(=CCC[C@]1([C@H](C1)CO)C)C
"(-)-(2s,4as,8ar)-polywood",,,,,,,C1CC([C@H]2[C@](C1)(C[C@H](CC2)OC(=O)C)C)(C)C
"(-)-(2s,4r)-disila-okoumal",,,,,,,O1[C@@](O[C@@H](C1)C)(c1cc2c(cc1)[Si](CC[Si]2(C)C)(C)C)C
"(-)-(2s,4r)-okoumal",,,,,,,O1[C@@](O[C@@H](C1)C)(c1cc2c(cc1)C(CCC2(C)C)(C)C)C
"(-)-(2s,4r,6s)-floropal",,,,,,,O1[C@](C[C@@H](O[C@@H]1C)C)(c1ccccc1)C
"(-)-(2s,4s)-2-acetyl-p-menth-6-ene",,,,,,,C1=C([C@H](C[C@H](C1)C(C)C)C(=O)C)C
"(-)-(2s,4s)-clarycet",,,,,,,C1CO[C@H](C[C@@]1(C)OC(=O)C)CCC
"(-)-(3as,6r,7as)-perhydro-3,3,6-trimethyl-2-benzo[b]furanone",,,,,,,O1[C@@H]2[C@H](C(C1=O)(C)C)CC[C@H](C2)C
"(-)-(3r,3ar,6r,7as)-perhydro-3,6-dimethyl-2-benzo[b]furanone",,,,,,,O1[C@@H]2[C@@H]([C@H](C1=O)C)CC[C@H](C2)C
"(-)-(3r,3ar,6s,7as)-perhydro-3,6-dimethyl-2-benzo[b]furanone",,,,,,,O1[C@@H]2[C@@H]([C@H](C1=O)C)CC[C@@H](C2)C
"(-)-(3r,5e)-3-methylcyclopentadec-5-en-1-one",,,,,,,C1CCC(=O)C[C@@H](C/C=C/CCCCCC1)C
"(-)-(3r,5r)-3,5-dimethylcyclohexanone",,,,,,,C1(=O)C[C@@H](C[C@H](C1)C)C
"(-)-(3r,5z)-3-methylcyclopentadec-5-en-1-one",,,,,,,C1CC(=O)C[C@@H](C/C=C\CCCCCCC1)C
"(-)-(3s,3ar,6s,7as)-perhydro-3,6-dimethyl-2-benzo[b]furanone",,,,,,,O1[C@@H]2[C@@H]([C@@H](C1=O)C)CC[C@@H](C2)C
"(-)-(3s,3as,6r,7as)-perhydro-3,6-dimethyl-2-benzo[b]furanone",,,,,,,O1[C@@H]2[C@H]([C@@H](C1=O)C)CC[C@H](C2)C
"(-)-(3s,6e)-2,3-dihydrofarnesol",,,,,,,CC(=CCC/C(=C/CC[C@@H](CCO)C)/C)C
"(-)-(4as,5r)-karanone",,,,,,,C12=CC(=O)C(=C(C)C)C[C@]1([C@@H](CC=C2)C)C
"(-)-(4as,8ar)-5,5,8a-trimethyloctahydronaphthalen-2-one",,,,,,,C1CC([C@H]2[C@](C1)(CC(=O)CC2)C)(C)C
"(-)-(6r)-3,4-didehydro-7,8-dihydro-g-ionone",,,,,,,C1C=CC(=C)[C@@H](C1(C)C)CCC(=O)C
"(-)-(6r)-3,4-didehydro-g-ionone",,,,,,,C1C=CC(=C)[C@@H](C1(C)C)/C=C/C(=O)C
(-)-(6r)-dictyopterene_d,,,,,,,C1=C[C@H](CC=CC1)/C=C\CC
"(-)-(7r,9r)-7,11-epoxymegastigma-5(6)-en-9-ol",,,,,,,C1CCC2=C(C1(C)C)[C@H](OC2)C[C@@H](C)O
"(-)-(7r,9s)-7,11-epoxymegastigma-5(6)-en-9-ol",,,,,,,C1CCC2=C(C1(C)C)[C@H](OC2)C[C@H](C)O
(-)-(e)-alpha-photosantalol,,,,,,,C1[C@H]2[C@@H]3[C@]2([C@]([C@H]1C3)(C/C=C/C(C)(C)O)C)C
"(-)-(e,r)-filbertone",,,,,,,C/C=C/C(=O)[C@@H](CC)C
"(-)-(r)-1,2-methano-3-octanol",,,,,,,C(CC[C@H](C1CC1)O)CC
(-)-(r)-13-tetradecanolide,,,,,,,C1CCCCCC[C@H](OC(=O)CCC1)C
"(-)-(r,r)-epoxydecenal",,,,,,,CCCCC[C@@H]1[C@@H](/C=C/C=O)O1
"(-)-(s)-2,5,6-trimethyl-2-heptanol",,,,,,,CC([C@H](CCC(C)(C)O)C)C
"(-)-(s)-4,8-dimethylnon-7-en-4-olide",,,,,,,C1[C@@](OC(=O)C1)(CCC=C(C)C)C
(-)-(s)-isomethylionone,,,,,,,C1CC=C([C@H](C1(C)C)/C=C(/C(=O)C)\C)C
(-)-(s)-n-methylionone,,,,,,,C1CC=C([C@H](C1(C)C)/C=C/C(=O)CC)C
(-)-(z)-epi-beta-santalol,,,,,,,C1C[C@H]2C(=C)[C@@]([C@@H]1C2)(C)CC/C=C(\CO)/C
"(-)-1'-[(1r,1'rs,3s)-3-isopropyl-1-methylcyclopentyl]ethanol",,,,,,,[C@@H]1(CC[C@](C1)([C@H](O)C)C)C(C)C
"(-)-1's,3r,6'r-5-methyl-norlimbanol",,,,,,,[C@@H]1([C@@H](CCCC1(C)C)C)CC[C@@H](CC(C)C)O
"(-)-1's,3r,6'r-norlimbanol",,,,,,,[C@@H]1([C@@H](CCCC1(C)C)C)CC[C@@H](CCC)O
"(-)-1's,3s,6'r-norlimbanol",,,,,,,[C@@H]1([C@@H](CCCC1(C)C)C)CC[C@H](CCC)O
"(-)-1-[(1r,3s)-3-isopropyl-1-methylcyclopentyl]ethanone",,,,,,,[C@@H]1(CC[C@](C1)(C(=O)C)C)C(C)C
"(-)-1-[(1r,3s)-3-isopropyl-1-methylcyclopentyl]propan-1-one",,,,,,,[C@@H]1(CC[C@](C1)(C(=O)CC)C)C(C)C
(-)-13-desoxyambreinolide,,,,,,,C1CC([C@H]2[C@](C1)([C@@H]1[C@@](CC2)(OCCC1)C)C)(C)C
"(-)-20-desmethyl-8a,13-desoxyambreinolide",,,,,,,C1CC([C@@H]2[C@@](C1)([C@H]1[C@H](CC2)OCCC1)C)(C)C
"(-)-20-desmethyl-8b,13-desoxyambreinolide",,,,,,,C1CC([C@@H]2[C@@](C1)([C@H]1[C@@H](CC2)OCCC1)C)(C)C
(-)-3r-1-methoxyhexane-3-thiol,,,,,,,CCC[C@H](CCOC)S
(-)-4-(2-endo-bornyl)-2-methylcyclohexanone,,,,,,,C1C[C@@]2([C@@H](C[C@H]1C2(C)C)[C@@H]1CCC(=O)[C@@H](C1)C)C
(-)-4-(2-exo-bornyl)-2-methylcyclohexanone,,,,,,,C1C[C@]2([C@@H](C[C@@H]1C2(C)C)[C@H]1CCC(=O)[C@H](C1)C)C
"(-)-8-dehydro-11,12-dihydronootkatone",,,,,,,C1C(=O)C=C2[C@@]([C@H]1C)(C[C@H](C=C2)C(C)C)C
"(-)-9a,13-epoxy-14,15,16,20-tetranorlabdane",,,,,,,C1CC([C@H]2[C@](C1)([C@@]1(CCC2)OCCC1)C)(C)C
"(-)-9b,13-epoxy-14,15,16,20-tetranorlabdane",,,,,,,C1CC([C@H]2[C@](C1)([C@]1(CCC2)OCCC1)C)(C)C
(-)-ambrox,,,,,,,[C@@]12([C@@H](CC[C@@]3([C@@H]1CCO3)C)C(CCC2)(C)C)C
(-)-androsta-16-en-3-one,,,,,,,[C@H]12CC[C@H]3[C@]([C@@H]1CC[C@@]1([C@@H]2CC=C1)C)(CCC(=O)C3)C
"(-)-androsta-4,16-dien-3-one",,,,,,,[C@H]12CCC3=CC(=O)CC[C@]3([C@@H]1CC[C@@]1([C@@H]2CC=C1)C)C
(-)-cubenol,,,,,,,C1C[C@H]([C@]2([C@H]([C@@H]1C(C)C)C=C(CC2)C)O)C
(-)-dehydrogeosmin,,,,,,,C1=CC[C@@]2([C@@](C1)(CCC[C@H]2C)C)O
"(-)-ent-8b,13-desoxyambreinolide",,,,,,,C1CC([C@@H]2[C@@](C1)([C@H]1[C@@](CC2)(OCCC1)C)C)(C)C
"(-)-ethyl(2s)-2-(1,1-dimethylpropoxy)propanoate",,,,,,,CCOC(=O)[C@@H](OC(C)(CC)C)C
(-)-ethyl-(r)-3-methyl-2-oxo-pentanoate,,,,,,,CC[C@H](C(=O)C(=O)OCC)C
(-)-ethyl_(r)-3-hydroxyhexanoate,,,,,,,C(=O)(C[C@@H](CCC)O)OCC
(-)-gamma-elemene,,,,,,,[C@]1([C@H](CC(=C(C)C)CC1)C(=C)C)(C)C=C
(-)-helvetolide,,,,,,,C(C(O[C@H](C)[C@@H]1CC(CCC1)(C)C)(C)C)OC(=O)CC
(-)-isopinocamphone,,,,,,,[C@H]12C[C@H](CC(=O)[C@H]1C)C2(C)C
(-)-jinkohol2,,,,,,,[C@@H]12[C@]3(C[C@@H]([C@@H](C1(C)C)CO)CC3)[C@@H](CC2)C
"(-)-methyl(1s)-1,4-dimethylcyclohex-3-ene-1-carboxylate",,,,,,,C1C[C@@](CC=C1C)(C(=O)OC)C
(-)-methyl_(r)-3-hydroxyhexanoate,,,,,,,C(=O)(C[C@@H](CCC)O)OC
(-)-patchoulenol,,,,,,,C1=C[C@@H]2C[C@@H]3[C@]1([C@](C2(C)C)(CC[C@@H]3C)O)C
(-)-patchoulol,,,,,,,C1[C@]2([C@H]3C[C@@H](C1)C([C@@]2(CC[C@@H]3C)O)(C)C)C
(-)-rieslingacetal_1c,,,,,,,C1C=C[C@]2([C@]3(C1(C)C)CC[C@@](O2)(C)O3)C
(-)-s-methyl_(2r)-2-methylbutanethioate,,,,,,,C(=O)([C@@H](CC)C)SC
(-)-tetrahydronootkatone,,,,,,,C1C(=O)C[C@@H]2[C@@]([C@H]1C)(C[C@H](CC2)CC)C
(-)-tricycloketone,,,,,,,C1C(=O)C=C2[C@]([C@@H]1C)(C[C@@]1([C@H]2C1)C(C)C)C
"(-)-[(1r,3s)-3-isopropyl-1-methylcyclopentyl]methanol",,,,,,,[C@@H]1(CC[C@](C1)(CO)C)C(C)C
(1'r)-(+)-campholenicaldehyde,,,,,,,C1(=CC[C@@H](C1(C)C)CC=O)C
