,carrier_phase_1_N,carrier_phase_1_W,carrier_phase_1_x,carrier_phase_2_N,carrier_phase_2_W,carrier_phase_2_x,"carrier_Kx(1,2)",solute_phase_1_N,solute_phase_1_W,solute_phase_1_x,solute_phase_2_N,solute_phase_2_W,solute_phase_2_x,"solute_Kx(1,2)",solvent_phase_1_N,solvent_phase_1_W,solvent_phase_1_x,solvent_phase_2_N,solvent_phase_2_W,solvent_phase_2_x,"solvent_Kx(1,2)",COSMO_name,file_name
988,50.39346361,907.85457442,0.97932189,0.51584133,9.2930487,0.05130114,19.08963581,1.02201428,92.0613212,0.01986133,0.08813086,7.9386788,0.00876474,2.266148,0.04202948,6.11174954,0.00081678,9.45119182,1374.35244046,0.93993413,0.00086898,"1,2,3-trichloropropene","LIQEX_1,2,3-trichloropropene_tc40.0_W1100.0.tab"
989,49.98615297,900.51674119,0.97778783,0.92315198,16.63088194,0.08826377,11.07800027,0.94729864,85.3310625,0.01853027,0.1628465,14.6689375,0.01556997,1.19016573,0.18822498,24.48513689,0.0036819,9.37301477,1219.28314311,0.89616626,0.0041085,"1,2,3-trifluoro-2-(fluoromethyl)-propane","LIQEX_1,2,3-trifluoro-2-(fluoromethyl)-propane_tc40.0_W1100.0.tab"
990,50.32719333,906.66069392,0.97721579,0.58211161,10.4869292,0.05672031,17.22864018,1.00863573,90.85620421,0.01958493,0.1015094,9.14379579,0.00989096,1.98017068,0.16476454,18.46910932,0.00319927,9.57922097,1073.77280068,0.93338872,0.00342759,"1,2,3-trifluoro-2-methylpropane","LIQEX_1,2,3-trifluoro-2-methylpropane_tc40.0_W1100.0.tab"
991,50.65857436,912.63063045,0.9787632,0.25073058,4.51699267,0.03290658,29.74358227,1.07139397,96.50936015,0.02070017,0.03875117,3.49063985,0.00508581,4.07063501,0.02777511,3.89260713,0.00053664,7.32998555,1027.27773287,0.96200761,0.00055783,"1,2,3-trifluoro-3-methylpentane","LIQEX_1,2,3-trifluoro-3-methylpentane_tc40.0_W1100.0.tab"
992,50.76254038,914.50361208,0.97853889,0.14676456,2.64401105,0.01518049,64.46037847,1.09292501,98.44884031,0.02106809,0.01722012,1.55115969,0.00178115,11.82847027,0.02038845,2.69298287,0.00039302,9.50398569,1255.32188713,0.98303836,0.0003998,"1,2,3-trifluorobenzene","LIQEX_1,2,3-trifluorobenzene_tc40.0_W1100.0.tab"
993,50.55156309,910.70278782,0.97865747,0.35774185,6.4448353,0.04067621,24.05963581,1.05059472,94.63579922,0.02033908,0.05955041,5.36420078,0.00677104,3.00404599,0.05183237,6.53713134,0.00100345,8.37757459,1056.58500866,0.95255275,0.00105344,"1,2,3-trifluoropentane","LIQEX_1,2,3-trifluoropentane_tc40.0_W1100.0.tab"
994,49.30317781,888.2127225,0.97371239,1.60612713,28.93490063,0.11952958,8.14620376,0.85068933,76.6286593,0.01680068,0.2594558,23.3713407,0.01930896,0.87009842,0.48036332,47.10792682,0.00948693,11.57148539,1134.78415318,0.86116146,0.01101642,"1,2,3-trifluoropropane","LIQEX_1,2,3-trifluoropropane_tc40.0_W1100.0.tab"
995,50.85942385,916.24899914,0.97870766,0.04988109,0.89862398,0.00853011,114.73655414,1.10605748,99.63179049,0.02128429,0.00408766,0.36820951,0.00069903,30.44931073,0.00041791,0.06195305,8.042e-06,5.79368239,858.88868695,0.99077087,8.1169e-06,"1,2,3-trimethyl-4-ethylbenzene","LIQEX_1,2,3-trimethyl-4-ethylbenzene_tc40.0_W1100.0.tab"
996,50.83452231,915.80038986,0.9787116,0.07478263,1.34723327,0.01029898,95.03017885,1.10277816,99.33639559,0.02123167,0.00736697,0.66360441,0.00101457,20.92698408,0.00294679,0.35418143,5.6734e-05,7.179018,862.86328857,0.98868645,5.7383e-05,"1,2,3-trimethylbenzene","LIQEX_1,2,3-trimethylbenzene_tc40.0_W1100.0.tab"
997,50.89128615,916.82300871,0.97865937,0.01801879,0.32461441,0.00290582,336.79420266,1.10940424,99.93326108,0.02133428,0.0007409,0.06673892,0.00011948,178.55950153,0.0003305,0.04172227,6.3556e-06,6.18216809,780.43730773,0.9969747,6.3749e-06,"1,2,3-trimethylcyclohexane,(1a,2b,3a)","LIQEX_1,2,3-trimethylcyclohexane,(1a,2b,3a)_tc40.0_W1100.0.tab"
