file_name,COSMO_name,A,B,C,Ae,Be,Ce,De,Ee,Fe,Ge,Density,Volume,T_boil,CAS_Number
PVAP_methyltrimethylacetate.tab,methyltrimethylacetate,14.45604347,3457.64011545,-49.70277787,63.48342267,-8230.28549261,0.0,0.0,-6.61172188,207340.0,-2.0,0.88167241,0.21877331,401.1707527232259,
PVAP_methylvalerate.tab,methylvalerate,14.64200288,3669.06899049,-50.6657943,67.14477396,-8770.76228979,0.0,0.0,-7.08164947,216810.0,-2.0,0.89802502,0.21478956,416.7062862118551,
PVAP_monomethylcarbonate.tab,monomethylcarbonate,13.94463753,3180.38366254,-106.09757449,57.26413147,-5705.63560184,0.0,0.0,-6.08958375,-541110.0,-2.0,1.21381642,0.10404103,447.1097847538984,
PVAP_morpholine.tab,morpholine,13.82840862,3424.2266354,-57.90398331,49.72006109,-6736.67176256,0.0,0.0,-4.86528952,15073.7158137,-2.0,1.0618309,0.13624342,429.6953605820311,
PVAP_myrcene.tab,myrcene,15.37714684,4071.07427161,-48.97083427,80.81402776,-10493.03206648,0.0,0.0,-8.8175499,325390.0,-2.0,0.76077097,0.29736079,427.3651812148918,
"PVAP_n'-(1,1-dimethylpropyl)-n,n-dimethylimidoformamide.tab","n'-(1,1-dimethylpropyl)-n,n-dimethylimidoformamide",15.23697429,4308.11699606,-47.21473413,78.47793589,-10514.1862121,0.0,0.0,-8.52162098,303210.0,-2.0,0.80503899,0.29340144,452.9273811998647,
PVAP_n'-(methoxymethyl)methanediamine.tab,n'-(methoxymethyl)methanediamine,14.16827362,3599.16999178,-72.49445716,55.09639372,-7097.20177356,0.0,0.0,-5.58786103,-110480.0,-2.0,0.97457847,0.15355926,449.373246255236,
"PVAP_n'-allyl-n,n-dimethylimidoformamide.tab","n'-allyl-n,n-dimethylimidoformamide",14.82781489,4033.81678925,-47.43408427,69.81108626,-9407.11961306,0.0,0.0,-7.4119789,241040.0,-2.0,0.84169376,0.22130193,442.5390367908848,
"PVAP_n'-cyclopropyl-n,n-dimethylimidoformamide.tab","n'-cyclopropyl-n,n-dimethylimidoformamide",14.67331321,4135.72477557,-45.75844112,67.95438363,-9349.90184007,0.0,0.0,-7.18149463,232160.0,-2.0,0.88659636,0.21009386,457.069528775246,
PVAP_n'-ethyl-n'-methylmethanediamine.tab,n'-ethyl-n'-methylmethanediamine,13.99906331,2981.79035222,-70.11908273,51.57897898,-6316.88668848,0.0,0.0,-5.11297949,-30149.97815287,-2.0,0.83013388,0.17633266,387.982437556155,
"PVAP_n'-ethyl-n,n'-dimethylmethanediamine.tab","n'-ethyl-n,n'-dimethylmethanediamine",14.32639061,3193.19440142,-58.34598923,59.31365069,-7462.09427402,0.0,0.0,-6.08204448,122590.0,-2.0,0.78965653,0.21486753,387.26806473092864,
"PVAP_n'-ethyl-n,n,n'-trimethylmethanediamine.tab","n'-ethyl-n,n,n'-trimethylmethanediamine",14.71039085,3349.41505565,-49.25801017,69.57517543,-8732.3248954,0.0,0.0,-7.39329919,274860.0,-2.0,0.75684892,0.25495629,381.144248109584,
PVAP_n'-ethyl-n-methylmethanediamine.tab,n'-ethyl-n-methylmethanediamine,14.10922244,3127.38366937,-66.4482754,54.03052799,-6749.50374873,0.0,0.0,-5.42034317,9008.35549786,-2.0,0.81478028,0.17965544,395.962568658478,
PVAP_n'-ethylmethanediamine.tab,n'-ethylmethanediamine,13.90621371,3000.42461359,-76.49433031,50.34560412,-6072.79040075,0.0,0.0,-4.98088458,-109600.0,-2.0,0.8556312,0.14385622,399.541617737995,
"PVAP_n'-isobutyl-n,n-dimethylimidoformamide.tab","n'-isobutyl-n,n-dimethylimidoformamide",15.09077705,4137.55076322,-48.32516431,75.35342094,-10033.91723734,0.0,0.0,-8.12269024,276610.0,-2.0,0.8081001,0.26346706,443.41448745406456,
"PVAP_n'-isopropyl-n,n-dimethylimidoformamide.tab","n'-isopropyl-n,n-dimethylimidoformamide",14.81648109,3923.16105155,-47.86592421,70.24245625,-9343.56754167,0.0,0.0,-7.47114893,249550.0,-2.0,0.81532645,0.23256442,432.55940809479375,
PVAP_n'-methyl-n'-propan-2-ylmethanediamine.tab,n'-methyl-n'-propan-2-ylmethanediamine,14.23054914,3285.68966901,-66.49334969,55.51343073,-7022.67746123,0.0,0.0,-5.60640702,2668.37569029,-2.0,0.81995449,0.20692801,408.3177198585652,
PVAP_n'-methylmethanediamine.tab,n'-methylmethanediamine,13.69240167,2743.45240492,-80.35645915,47.94034467,-5558.04145968,0.0,0.0,-4.69194484,-131160.0,-2.0,0.85991008,0.11605403,382.6962977439223,
PVAP_n'-propan-2-ylmethanediamine.tab,n'-propan-2-ylmethanediamine,14.11927351,3254.87470764,-74.43925333,53.34901319,-6609.93575214,0.0,0.0,-5.35544387,-97783.87797454,-2.0,0.8438096,0.17347481,417.02373360486354,
"PVAP_n'-tert-butyl-n,n-dimethylimidoformamide.tab","n'-tert-butyl-n,n-dimethylimidoformamide",15.01293582,4118.75506292,-46.86133066,74.24466397,-9929.89180085,0.0,0.0,-7.98160763,281000.0,-2.0,0.81001415,0.2628445,443.1011103418424,
"PVAP_n,2,2-tri(methyl)propan-1-amine.tab","n,2,2-tri(methyl)propan-1-amine",14.42951407,3109.59083673,-53.65329074,61.84937412,-7698.45678731,0.0,0.0,-6.39868063,190340.0,-2.0,0.73322596,0.22916667,370.5968747204884,
"PVAP_n,2,3-trimethylbutan-2-amine.tab","n,2,3-trimethylbutan-2-amine",14.57217132,3297.5176189,-52.18281275,64.9708805,-8194.4941561,0.0,0.0,-6.79788627,214490.0,-2.0,0.74609615,0.25643182,383.4638291821351,
"PVAP_n,2-di(methyl)butan-1-amine.tab","n,2-di(methyl)butan-1-amine",14.4631198,3152.83198253,-57.14811361,61.7608542,-7680.07604368,0.0,0.0,-6.38904053,158480.0,-2.0,0.7434344,0.22601988,377.4020817079594,
"PVAP_n,2-di(methyl)propan-1-amine.tab","n,2-di(methyl)propan-1-amine",14.13494928,2779.14283883,-60.2056076,55.47071731,-6693.17728471,0.0,0.0,-5.58962263,113940.0,-2.0,0.72786435,0.19885451,352.2361789124193,
"PVAP_n,2-dimethylpropan-2-amine.tab","n,2-dimethylpropan-2-amine",14.04000314,2710.32935225,-58.61332182,53.78760955,-6489.73632672,0.0,0.0,-5.37267279,117020.0,-2.0,0.72623695,0.19930012,346.283062068109,
"PVAP_n,3-di(methyl)butan-1-amine.tab","n,3-di(methyl)butan-1-amine",14.45120175,3131.9095506,-60.55698433,60.10910709,-7445.1781784,0.0,0.0,-6.17535695,117130.0,-2.0,0.74406287,0.22582897,379.0713147026392,
"PVAP_n,3-dimethylpentan-3-amine.tab","n,3-dimethylpentan-3-amine",14.58604167,3312.56903838,-52.05815822,65.19824966,-8231.79369519,0.0,0.0,-6.82647489,216280.0,-2.0,0.74807226,0.25575442,384.3882057144268,
"PVAP_n,6-dimethyl-5-hepten-2-amine.tab","n,6-dimethyl-5-hepten-2-amine",15.38116063,4266.75219815,-52.7288557,79.31000644,-10466.59719491,0.0,0.0,-8.62430298,260620.0,-2.0,0.78322074,0.29948006,449.1629911541034,
"PVAP_n,a-dimethylcyclopentaneethanamine.tab","n,a-dimethylcyclopentaneethanamine",15.11337035,4352.76390978,-50.48239799,74.33221687,-10100.25153003,0.0,0.0,-7.98815455,231040.0,-2.0,0.83336728,0.28145933,465.2273708918324,
"PVAP_n,n',n'-trimethylmethanediamine.tab","n,n',n'-trimethylmethanediamine",14.04382496,2884.36906246,-60.95961843,53.72892949,-6606.30649217,0.0,0.0,-5.37131866,81442.87861032,-2.0,0.78047463,0.18755217,366.9775034903447,
"PVAP_n,n'-bis(methylene)-methanediamine.tab","n,n'-bis(methylene)-methanediamine",13.76630112,2822.20255989,-49.62403422,48.04380563,-6129.68604079,0.0,0.0,-4.62657418,114390.0,-2.0,0.84992296,0.13694527,358.1299861528223,
"PVAP_n,n'-diethyl-1,2-ethanediamine.tab","n,n'-diethyl-1,2-ethanediamine",14.81984429,3950.19991938,-54.31795792,68.31204346,-9078.29042763,0.0,0.0,-7.22460559,170720.0,-2.0,0.82158846,0.23486624,441.5350940763549,
"PVAP_n,n'-dimethyl-1,2-propanediamine.tab","n,n'-dimethyl-1,2-propanediamine",14.30234353,3377.7162428,-61.74876948,57.33007192,-7369.18256861,0.0,0.0,-5.82979282,54809.3356759,-2.0,0.80821659,0.20993327,410.54189527308273,
"PVAP_n,n'-dimethyl-1,3-propanediamine.tab","n,n'-dimethyl-1,3-propanediamine",14.37716327,3456.27251371,-63.28780284,57.72585159,-7440.29408273,0.0,0.0,-5.87856684,34047.21727097,-2.0,0.82124651,0.20660246,417.4565381477816,
"PVAP_n,n'-dimethylpiperazine.tab","n,n'-dimethylpiperazine",14.46622873,3836.58891249,-43.45903664,64.34593637,-8745.0329372,0.0,0.0,-6.71938759,237670.0,-2.0,0.91245313,0.20780894,433.043683440373,
"PVAP_n,n,1,1-tetramethylboranamine.tab","n,n,1,1-tetramethylboranamine",14.22647035,2658.93861084,-50.45295243,59.8088114,-7126.28109946,0.0,0.0,-6.14323577,229990.0,-2.0,0.67211423,0.20989625,327.1911548227163,
"PVAP_n,n,2,6-tetramethylbenzeneamine.tab","n,n,2,6-tetramethylbenzeneamine",15.12477539,4416.51837427,-44.57827916,76.75197461,-10485.70334318,0.0,0.0,-8.30122431,304410.0,-2.0,0.87907597,0.28189648,464.94116536325646,
