Temperature (°C),Phase 1 x(1) input,Phase 1 x(2) input,Phase 1 x(3) input,Phase 2 x(1) input,Phase 2 x(2) input,Phase 2 x(3) input,Compound 1,Compound 2,Compound 3,Phase 1 x(1) output,Phase 1 x(2) output,Phase 1 x(3) output,Phase 2 x(1) output,Phase 2 x(2) output,Phase 2 x(3) output
20.0,0.999,0,0.0010033,0,1.0,0,h2o,"1,2-dichloroethane",lacticacid,0.99668792,0.00233311,0.00097896,0.00284577,0.99712938,2.4844e-05
20.0,0.998,0,0.0020129,0,1.0,0,h2o,"1,2-dichloroethane",lacticacid,0.99566543,0.00237041,0.00196416,0.00285363,0.99709659,4.9777e-05
20.0,0.9959,0,0.0040513,0,1.0,0,h2o,"1,2-dichloroethane",lacticacid,0.99359922,0.00244749,0.00395329,0.00287126,0.99702861,0.00010013
20.0,0.9897,0,0.0103,0,1.0,0,h2o,"1,2-dichloroethane",lacticacid,0.98722928,0.00269512,0.0100756,0.0029219,0.99682377,0.00025433
20.0,0.9787,0,0.0213,0,1.0,0,h2o,"1,2-dichloroethane",lacticacid,0.97600188,0.00317441,0.02082372,0.00301044,0.99646486,0.0005247
20.0,0.9669,0,0.0331,0,1.0,0,h2o,"1,2-dichloroethane",lacticacid,0.96393635,0.00375379,0.03230986,0.00310111,0.99608432,0.00081457
20.0,0.9543,0,0.0457,0,1.0,0,h2o,"1,2-dichloroethane",lacticacid,0.95093324,0.00445751,0.04460926,0.00319284,0.99568065,0.00112651
20.0,0.9407,0,0.0593,0,1.0,0,h2o,"1,2-dichloroethane",lacticacid,0.93687969,0.00531562,0.05780469,0.00328937,0.99524446,0.00146616
30.0,0.999,0,0.0010033,0,1.0,0,h2o,"1,2-dichloroethane",lacticacid,0.99655588,0.00247765,0.00096647,0.00416425,0.99579727,3.8479e-05
30.0,0.998,0,0.0020129,0,1.0,0,h2o,"1,2-dichloroethane",lacticacid,0.9955432,0.00251767,0.00193914,0.00417885,0.99574403,7.7118e-05
30.0,0.9959,0,0.0040513,0,1.0,0,h2o,"1,2-dichloroethane",lacticacid,0.99349674,0.00259994,0.00390332,0.00420802,0.99563709,0.00015489
30.0,0.9897,0,0.0103,0,1.0,0,h2o,"1,2-dichloroethane",lacticacid,0.98718426,0.0028657,0.00995004,0.00429868,0.99530819,0.00039313
30.0,0.9787,0,0.0213,0,1.0,0,h2o,"1,2-dichloroethane",lacticacid,0.97604842,0.00338049,0.02057109,0.00445127,0.9947405,0.00080823
30.0,0.9669,0,0.0331,0,1.0,0,h2o,"1,2-dichloroethane",lacticacid,0.96406783,0.00400343,0.03192875,0.00460514,0.99414577,0.00124909
30.0,0.9543,0,0.0457,0,1.0,0,h2o,"1,2-dichloroethane",lacticacid,0.95114468,0.00475986,0.04409546,0.00476484,0.99351329,0.00172187
30.0,0.9407,0,0.0593,0,1.0,0,h2o,"1,2-dichloroethane",lacticacid,0.93716129,0.00568301,0.0571557,0.00492889,0.99284025,0.00223086
40.0,0.999,0,0.0010033,0,1.0,0,h2o,"1,2-dichloroethane",lacticacid,0.99638976,0.00266055,0.00094969,0.00594232,0.99400094,5.6748e-05
40.0,0.998,0,0.0020129,0,1.0,0,h2o,"1,2-dichloroethane",lacticacid,0.99539088,0.00270362,0.0019055,0.00596803,0.99391818,0.00011379
40.0,0.9959,0,0.0040513,0,1.0,0,h2o,"1,2-dichloroethane",lacticacid,0.99337182,0.0027922,0.00383597,0.00601658,0.99375488,0.00022854
40.0,0.9897,0,0.0103,0,1.0,0,h2o,"1,2-dichloroethane",lacticacid,0.98713979,0.00307854,0.00978167,0.00616245,0.9932586,0.00057895
40.0,0.9787,0,0.0213,0,1.0,0,h2o,"1,2-dichloroethane",lacticacid,0.97613446,0.0036331,0.02023244,0.00641174,0.99240034,0.00118791
40.0,0.9669,0,0.0331,0,1.0,0,h2o,"1,2-dichloroethane",lacticacid,0.9642792,0.004304,0.0314168,0.00666542,0.99150195,0.00183263
40.0,0.9543,0,0.0457,0,1.0,0,h2o,"1,2-dichloroethane",lacticacid,0.95147231,0.00511917,0.04340852,0.00692429,0.99055706,0.00251865
40.0,0.9407,0,0.0593,0,1.0,0,h2o,"1,2-dichloroethane",lacticacid,0.93759312,0.00611461,0.05629227,0.00718753,0.98956167,0.00325081
20.0,0.999,0,0.0010033,0,1.0,0,h2o,1-butanol,lacticacid,0.9766719,0.02298713,0.00034097,0.49218496,0.50718385,0.00063118
20.0,0.998,0,0.0020129,0,1.0,0,h2o,1-butanol,lacticacid,0.97621306,0.02310203,0.00068491,0.49310855,0.50562498,0.00126647
20.0,0.9959,0,0.0040513,0,1.0,0,h2o,1-butanol,lacticacid,0.97528227,0.02333587,0.00138185,0.49498485,0.50246563,0.00254952
20.0,0.9897,0,0.0103,0,1.0,0,h2o,1-butanol,lacticacid,0.97237608,0.02407498,0.00354894,0.50078947,0.49270908,0.00650145
20.0,0.9787,0,0.0213,0,1.0,0,h2o,1-butanol,lacticacid,0.9671056,0.02545136,0.00744305,0.51109136,0.4754562,0.01345244
20.0,0.9669,0,0.0331,0,1.0,0,h2o,1-butanol,lacticacid,0.96119855,0.02705017,0.01175128,0.52232,0.45677583,0.02090416
20.0,0.9543,0,0.0457,0,1.0,0,h2o,1-butanol,lacticacid,0.95449959,0.028935,0.01656541,0.53475571,0.4363223,0.02892199
20.0,0.9407,0,0.0593,0,1.0,0,h2o,1-butanol,lacticacid,0.94677107,0.03120655,0.02202239,0.54881278,0.4135815,0.03760572
30.0,0.999,0,0.0010033,0,1.0,0,h2o,1-butanol,lacticacid,0.97986804,0.01982491,0.00030706,0.46376836,0.53559773,0.00063391
30.0,0.998,0,0.0020129,0,1.0,0,h2o,1-butanol,lacticacid,0.97946799,0.01991522,0.00061679,0.46461591,0.53411212,0.00127197
30.0,0.9959,0,0.0040513,0,1.0,0,h2o,1-butanol,lacticacid,0.97865585,0.02009966,0.00124449,0.46632102,0.53111834,0.00256065
30.0,0.9897,0,0.0103,0,1.0,0,h2o,1-butanol,lacticacid,0.97612089,0.02068234,0.00319677,0.47158639,0.52188332,0.00653029
30.0,0.9787,0,0.0213,0,1.0,0,h2o,1-butanol,lacticacid,0.97153155,0.02176279,0.00670566,0.48096394,0.50552287,0.0135132
30.0,0.9669,0,0.0331,0,1.0,0,h2o,1-butanol,lacticacid,0.96640176,0.02301125,0.01058699,0.4911869,0.48781526,0.02099784
30.0,0.9543,0,0.0457,0,1.0,0,h2o,1-butanol,lacticacid,0.96060935,0.02447243,0.01491822,0.50248276,0.46847476,0.02904249
30.0,0.9407,0,0.0593,0,1.0,0,h2o,1-butanol,lacticacid,0.95398232,0.02621259,0.01980509,0.51512873,0.44715119,0.03772008
40.0,0.999,0,0.0010033,0,1.0,0,h2o,1-butanol,lacticacid,0.98200955,0.01771111,0.00027933,0.44824215,0.55112197,0.00063587
40.0,0.998,0,0.0020129,0,1.0,0,h2o,1-butanol,lacticacid,0.98165278,0.01778606,0.00056116,0.44901222,0.54971187,0.00127591
40.0,0.9959,0,0.0040513,0,1.0,0,h2o,1-butanol,lacticacid,0.98092918,0.01793838,0.00113244,0.45057867,0.54685268,0.00256864
40.0,0.9897,0,0.0103,0,1.0,0,h2o,1-butanol,lacticacid,0.97867018,0.01841947,0.00291034,0.45542339,0.53802544,0.00655117
