carrier_phase_1_N,carrier_phase_1_W,carrier_phase_1_x,carrier_phase_2_N,carrier_phase_2_W,carrier_phase_2_x,"carrier_Kx(1,2)",solute_phase_1_N,solute_phase_1_W,solute_phase_1_x,solute_phase_2_N,solute_phase_2_W,solute_phase_2_x,"solute_Kx(1,2)",solvent_phase_1_N,solvent_phase_1_W,solvent_phase_1_x,solvent_phase_2_N,solvent_phase_2_W,solvent_phase_2_x,"solvent_Kx(1,2)",COSMO_name,file_name,SMILES,Density,T_boil,Phase,Pareto,carrier_phase_1_W_norm,carrier_phase_2_W_norm,solute_phase_1_W_norm,solute_phase_2_W_norm,solvent_phase_1_W_norm,solvent_phase_2_W_norm,Selectivity
4.0350218,72.69222505,0.35862558,46.87428314,844.45539808,0.98954778,2.75927754,0.64773685,58.3470425,0.0575697,0.46240828,41.6529575,0.00976175,0.16956394,6.56859105,828.93601121,0.58380472,0.0327072,4.12754879,0.00069047,0.00118271,"(-)-(e,r)-filbertone","LIQEX_(-)-(e,r)-filbertone_tc40.0_W1100.0.tab",C/C=C/C(=O)[C@@H](CC)C,0.83306356,452.7654510220668,1,False,0.0947282404856286,0.9052717595156076,0.6185102145324095,0.3814897854675904,0.16614728355582295,0.003661370593041304,0.523781974046781
4.0350218,72.69222505,0.35862558,46.87428314,844.45539808,0.98954778,2.75927754,0.64773685,58.3470425,0.0575697,0.46240828,41.6529575,0.00976175,0.16956394,6.56859105,828.93601121,0.58380472,0.0327072,4.12754879,0.00069047,0.00118271,"(-)-(e,r)-filbertone","LIQEX_(-)-(e,r)-filbertone_tc40_W1100.0.tab",C/C=C/C(=O)[C@@H](CC)C,0.83306356,452.7654510220668,1,False,0.0947282404856286,0.9052717595156076,0.6185102145324095,0.3814897854675904,0.16614728355582295,0.003661370593041304,0.523781974046781
0.86778157,15.6333661,0.11895887,50.04152337,901.51425703,0.98230808,8.25777619,0.21266419,19.15643092,0.02915283,0.89748095,80.84356908,0.01761743,0.60431984,6.21435754,921.38751807,0.8518883,0.00379491,0.56266193,7.4494e-05,8.7447e-05,(-)-3r-1-methoxyhexane-3-thiol,LIQEX_(-)-3r-1-methoxyhexane-3-thiol_tc40.0_W1100.0.tab,CCC[C@H](CCOC)S,0.92195018,465.8414434153341,1,False,0.020269254383946143,0.9797307456163183,0.2030295707854871,0.7969704292145128,0.19943276929399348,0.0004991130988074968,0.18276031640154097
0.86778157,15.6333661,0.11895887,50.04152337,901.51425703,0.98230808,8.25777619,0.21266419,19.15643092,0.02915283,0.89748095,80.84356908,0.01761743,0.60431984,6.21435754,921.38751807,0.8518883,0.00379491,0.56266193,7.4494e-05,8.7447e-05,(-)-3r-1-methoxyhexane-3-thiol,LIQEX_(-)-3r-1-methoxyhexane-3-thiol_tc40_W1100.0.tab,CCC[C@H](CCOC)S,0.92195018,465.8414434153341,1,False,0.020269254383946143,0.9797307456163183,0.2030295707854871,0.7969704292145128,0.19943276929399348,0.0004991130988074968,0.18276031640154097
0.61201976,11.02573434,0.07825339,50.29728518,906.12188878,0.98044742,12.52970385,0.12061986,10.8652335,0.01542256,0.98952528,89.1347665,0.01928886,1.2507155,7.08836057,937.25829245,0.90632405,0.01352859,1.78881755,0.00026371,0.00029098,(-)-s-methyl_(2r)-2-methylbutanethioate,LIQEX_(-)-s-methyl_(2r)-2-methylbutanethioate_tc40.0_W1100.0.tab,C(=O)([C@@H](CC)C)SC,0.93904711,421.0207998281019,1,False,0.014256523048394072,0.9857434769387424,0.11513015042399397,0.8848698495760059,0.2051467533297449,0.0015867829045308408,0.10087362737559989
0.61201976,11.02573434,0.07825339,50.29728518,906.12188878,0.98044742,12.52970385,0.12061986,10.8652335,0.01542256,0.98952528,89.1347665,0.01928886,1.2507155,7.08836057,937.25829245,0.90632405,0.01352859,1.78881755,0.00026371,0.00029098,(-)-s-methyl_(2r)-2-methylbutanethioate,LIQEX_(-)-s-methyl_(2r)-2-methylbutanethioate_tc40_W1100.0.tab,C(=O)([C@@H](CC)C)SC,0.93904711,421.0207998281019,1,False,0.014256523048394072,0.9857434769387424,0.11513015042399397,0.8848698495760059,0.2051467533297449,0.0015867829045308408,0.10087362737559989
0.02781414,0.50108066,0.00681658,50.88149081,916.64654247,0.97868041,143.57479082,0.00176961,0.15940384,0.00043369,1.10837552,99.84059616,0.02131906,49.15998019,4.0507813,998.08804098,0.99274973,2.7594e-05,0.00679902,5.3076e-07,5.3463e-07,"(1,1,2,2-tetrafluoro-1,2-ethanediyl)bis[trimethyl-silane","LIQEX_(1,1,2,2-tetrafluoro-1,2-ethanediyl)bis[trimethyl-silane_tc40.0_W1100.0.tab",C[Si](C)(C)C(C(F)(F)[Si](C)(C)C)(F)F,0.99809484,376.85191911154857,1,False,0.0005223710428159604,0.9994776289571909,0.0016319216479046491,0.9983680783520953,0.22704739936483767,6.031067891623055e-06,0.0011095506050886887
0.02781414,0.50108066,0.00681658,50.88149081,916.64654247,0.97868041,143.57479082,0.00176961,0.15940384,0.00043369,1.10837552,99.84059616,0.02131906,49.15998019,4.0507813,998.08804098,0.99274973,2.7594e-05,0.00679902,5.3076e-07,5.3463e-07,"(1,1,2,2-tetrafluoro-1,2-ethanediyl)bis[trimethyl-silane","LIQEX_(1,1,2,2-tetrafluoro-1,2-ethanediyl)bis[trimethyl-silane_tc40_W1100.0.tab",C[Si](C)(C)C(C(F)(F)[Si](C)(C)C)(F)F,0.99809484,376.85191911154857,1,False,0.0005223710428159604,0.9994776289571909,0.0016319216479046491,0.9983680783520953,0.22704739936483767,6.031067891623055e-06,0.0011095506050886887
0.05994611,1.07994851,0.00934378,50.84935884,916.06767462,0.97871053,104.74502151,0.00536464,0.48323751,0.00083618,1.1047805,99.51676249,0.02126399,25.43041198,6.35030466,852.33190986,0.98982003,0.00132373,0.17767014,2.5478e-05,2.574e-05,"(1,1-dimethylethyl)benzene","LIQEX_(1,1-dimethylethyl)benzene_tc40.0_W1100.0.tab",c1(ccccc1)C(C)(C)C,0.85250958,445.4115593644526,1,False,0.0012777649289017388,0.998722235071115,0.005065055662766288,0.9949349443372337,0.17457055189719803,0.00015760347425071975,0.003787290733864549
0.05994611,1.07994851,0.00934378,50.84935884,916.06767462,0.97871053,104.74502151,0.00536464,0.48323751,0.00083618,1.1047805,99.51676249,0.02126399,25.43041198,6.35030466,852.33190986,0.98982003,0.00132373,0.17767014,2.5478e-05,2.574e-05,"(1,1-dimethylethyl)benzene","LIQEX_(1,1-dimethylethyl)benzene_tc40_W1100.0.tab",c1(ccccc1)C(C)(C)C,0.85250958,445.4115593644526,1,False,0.0012777649289017388,0.998722235071115,0.005065055662766288,0.9949349443372337,0.17457055189719803,0.00015760347425071975,0.003787290733864549
0.01504198,0.27098612,0.00326211,50.89426296,916.87663701,0.97866344,300.01451353,0.00060999,0.05494657,0.00013229,1.10953515,99.94505343,0.02133564,161.29281652,4.59547207,727.72693449,0.99660561,4.8027e-05,0.00760551,9.2354e-07,9.2668e-07,"(1,1-dimethylethyl)dimethyl(1-methylethyl)-silane","LIQEX_(1,1-dimethylethyl)dimethyl(1-methylethyl)-silane_tc40.0_W1100.0.tab",CC(C)[Si](C)(C)C(C)(C)C,0.72773454,364.7557716938962,1,False,0.00022210905946739546,0.9997778909405355,0.0005245142349059139,0.999475485765094,0.1297087938637258,6.7464704125671906e-06,0.00030240517543851837
0.37489027,6.7537697,0.06423909,50.53441467,910.39385343,0.97988648,15.25476085,0.07441887,6.70352603,0.012752,1.03572627,93.29647397,0.02008323,1.57493399,5.38655027,788.07097476,0.92300892,0.00156206,0.22853524,3.0289e-05,3.2817e-05,"(1,1-dimethylethyl)methoxydimethyl-silane","LIQEX_(1,1-dimethylethyl)methoxydimethyl-silane_tc40.0_W1100.0.tab",CC(C)(C)[Si](C)(C)OC,0.78829951,371.4706030481732,1,False,0.00868182068648084,0.9913181793136325,0.07100966265889909,0.9289903373411008,0.1514345694623029,0.00020272371227980326,0.06232784197241825
0.92483929,16.66127946,0.15155914,49.98446565,900.48634367,0.9830106,6.4858559,0.24677882,22.22941917,0.04044117,0.86336632,77.77058083,0.01697924,0.41984841,4.93054972,790.51572632,0.80799969,0.00051677,0.08285368,1.0163e-05,1.2579e-05,"(1,1-dimethylpropoxy)trimethyl-silane","LIQEX_(1,1-dimethylpropoxy)trimethyl-silane_tc40.0_W1100.0.tab",CCC(C)(C)O[Si](C)(C)C,0.79059858,384.47603333115234,1,False,0.021610630429566725,0.9783893695707153,0.2356079635398451,0.7643920364601549,0.1523147578545481,7.34958789786162e-05,0.21399733311027835
