Temperature (°C),Phase 1 x(1) input,Phase 1 x(2) input,Phase 1 x(3) input,Phase 2 x(1) input,Phase 2 x(2) input,Phase 2 x(3) input,Compound 1,COSMO_name,Compound 3,Phase 1 x(1) output,Phase 1 x(2) output,Phase 1 x(3) output,Phase 2 x(1) output,Phase 2 x(2) output,Phase 2 x(3) output,SMILES,KV
20.0,0.9959,0,0.0040513,0,1.0,0,h2o,1-butanol,lacticacid,0.97528227,0.02333587,0.00138185,0.49498485,0.50246563,0.00254952,OCCCC,1.845004884755943
20.0,0.9897,0,0.0103,0,1.0,0,h2o,1-butanol,lacticacid,0.97237608,0.02407498,0.00354894,0.50078947,0.49270908,0.00650145,OCCCC,1.8319413684085952
20.0,0.9787,0,0.0213,0,1.0,0,h2o,1-butanol,lacticacid,0.9671056,0.02545136,0.00744305,0.51109136,0.4754562,0.01345244,OCCCC,1.8073827261673643
20.0,0.9669,0,0.0331,0,1.0,0,h2o,1-butanol,lacticacid,0.96119855,0.02705017,0.01175128,0.52232,0.45677583,0.02090416,OCCCC,1.7788836620351147
20.0,0.9543,0,0.0457,0,1.0,0,h2o,1-butanol,lacticacid,0.95449959,0.028935,0.01656541,0.53475571,0.4363223,0.02892199,OCCCC,1.7459266024807114
20.0,0.9407,0,0.0593,0,1.0,0,h2o,1-butanol,lacticacid,0.94677107,0.03120655,0.02202239,0.54881278,0.4135815,0.03760572,OCCCC,1.7076130247443626
30.0,0.999,0,0.0010033,0,1.0,0,h2o,1-butanol,lacticacid,0.97986804,0.01982491,0.00030706,0.46376836,0.53559773,0.00063391,OCCCC,2.0644499446362277
30.0,0.998,0,0.0020129,0,1.0,0,h2o,1-butanol,lacticacid,0.97946799,0.01991522,0.00061679,0.46461591,0.53411212,0.00127197,OCCCC,2.0622416057329076
30.0,0.9959,0,0.0040513,0,1.0,0,h2o,1-butanol,lacticacid,0.97865585,0.02009966,0.00124449,0.46632102,0.53111834,0.00256065,OCCCC,2.057589856085625
30.0,0.9897,0,0.0103,0,1.0,0,h2o,1-butanol,lacticacid,0.97612089,0.02068234,0.00319677,0.47158639,0.52188332,0.00653029,OCCCC,2.0427775535931585
30.0,0.9787,0,0.0213,0,1.0,0,h2o,1-butanol,lacticacid,0.97153155,0.02176279,0.00670566,0.48096394,0.50552287,0.0135132,OCCCC,2.01519313535133
30.0,0.9669,0,0.0331,0,1.0,0,h2o,1-butanol,lacticacid,0.96640176,0.02301125,0.01058699,0.4911869,0.48781526,0.02099784,OCCCC,1.983362598812316
30.0,0.9543,0,0.0457,0,1.0,0,h2o,1-butanol,lacticacid,0.96060935,0.02447243,0.01491822,0.50248276,0.46847476,0.02904249,OCCCC,1.9467798437078956
30.0,0.9407,0,0.0593,0,1.0,0,h2o,1-butanol,lacticacid,0.95398232,0.02621259,0.01980509,0.51512873,0.44715119,0.03772008,OCCCC,1.9045649375993747
40.0,0.999,0,0.0010033,0,1.0,0,h2o,1-butanol,lacticacid,0.98200955,0.01771111,0.00027933,0.44824215,0.55112197,0.00063587,OCCCC,2.2764114130240216
40.0,0.998,0,0.0020129,0,1.0,0,h2o,1-butanol,lacticacid,0.98165278,0.01778606,0.00056116,0.44901222,0.54971187,0.00127591,OCCCC,2.27370090526766
40.0,0.9959,0,0.0040513,0,1.0,0,h2o,1-butanol,lacticacid,0.98092918,0.01793838,0.00113244,0.45057867,0.54685268,0.00256864,OCCCC,2.268234961675674
40.0,0.9897,0,0.0103,0,1.0,0,h2o,1-butanol,lacticacid,0.97867018,0.01841947,0.00291034,0.45542339,0.53802544,0.00655117,OCCCC,2.2509981651628332
40.0,0.9787,0,0.0213,0,1.0,0,h2o,1-butanol,lacticacid,0.97457937,0.01931073,0.0061099,0.46405628,0.52238522,0.0135585,OCCCC,2.2191034223146042
40.0,0.9669,0,0.0331,0,1.0,0,h2o,1-butanol,lacticacid,0.97000822,0.02033773,0.00965405,0.47348745,0.50544039,0.02107216,OCCCC,2.182727456352515
40.0,0.9543,0,0.0457,0,1.0,0,h2o,1-butanol,lacticacid,0.96484923,0.0215366,0.01361417,0.48389947,0.48694993,0.02915061,OCCCC,2.141196268299867
40.0,0.9407,0,0.0593,0,1.0,0,h2o,1-butanol,lacticacid,0.95895564,0.02295888,0.01808548,0.49553735,0.46659848,0.03786417,OCCCC,2.0936226188080163
20.0,0.999,0,0.0010033,0,1.0,0,h2o,1-decanol,lacticacid,0.99931311,6.36e-06,0.00068053,0.10818723,0.89143682,0.00037595,OCCCCCCCCCC,0.5524370711063435
20.0,0.998,0,0.0020129,0,1.0,0,h2o,1-decanol,lacticacid,0.99862723,6.4982e-06,0.00136627,0.10824182,0.8910041,0.00075408,OCCCCCCCCCC,0.5519260468282258
20.0,0.9959,0,0.0040513,0,1.0,0,h2o,1-decanol,lacticacid,0.99723964,6.7855e-06,0.00275358,0.10835156,0.8901315,0.00151694,OCCCCCCCCCC,0.5508973772325482
20.0,0.9897,0,0.0103,0,1.0,0,h2o,1-decanol,lacticacid,0.99294606,7.742e-06,0.0070462,0.10868529,0.88745467,0.00386004,OCCCCCCCCCC,0.5478186824103772
20.0,0.9787,0,0.0213,0,1.0,0,h2o,1-decanol,lacticacid,0.98532527,9.7152e-06,0.01466502,0.10925677,0.88278423,0.007959,OCCCCCCCCCC,0.5427200235662822
20.0,0.9669,0,0.0331,0,1.0,0,h2o,1-decanol,lacticacid,0.97706675,1.2306e-05,0.02292095,0.10985185,0.87782308,0.01232507,OCCCCCCCCCC,0.5377207314705543
20.0,0.9543,0,0.0457,0,1.0,0,h2o,1-decanol,lacticacid,0.96809616,1.5739e-05,0.0318881,0.11046471,0.87254418,0.01699111,OCCCCCCCCCC,0.5328354464518111
20.0,0.9407,0,0.0593,0,1.0,0,h2o,1-decanol,lacticacid,0.9583293,2.0336e-05,0.04165036,0.11109886,0.86690354,0.0219976,OCCCCCCCCCC,0.528149096430379
30.0,0.999,0,0.0010033,0,1.0,0,h2o,1-decanol,lacticacid,0.99936086,6.3167e-06,0.00063282,0.10982283,0.88976201,0.00041516,OCCCCCCCCCC,0.6560475332638033
30.0,0.998,0,0.0020129,0,1.0,0,h2o,1-decanol,lacticacid,0.99872279,6.4491e-06,0.00127076,0.10989682,0.88927057,0.00083261,OCCCCCCCCCC,0.6552063332179169
30.0,0.9959,0,0.0040513,0,1.0,0,h2o,1-decanol,lacticacid,0.99743106,6.7241e-06,0.00256222,0.11004559,0.88827997,0.00167445,OCCCCCCCCCC,0.6535153109412931
