
 Property  job 1 : Multi-Component-2-Phase-Equilibrium calculation ;
 Settings  job 1 : T= 313.15 K ; Phase 1: x(1)= 0.9990 x(3)= 1.0033E-03 ; Phase 2: x(2)= 1.0000 ;
 Units     job 1 : Concentrations x : mole fraction ;
 
  Nr Compound                     phase_1_x         phase_2_x
   1 h2o                         0.99905709        0.26735195
   2 3-heptanol                  0.00054643        0.73202627
   3 lacticacid                  0.00039648        0.00062178
